rec.sport.hockey,rec.sport.hockey,191
rec.sport.hockey,soc.religion.christian,1
rec.sport.hockey,rec.motorcycles,7
rec.sport.hockey,rec.sport.baseball,19
rec.sport.hockey,sci.crypt,1
rec.sport.hockey,rec.autos,1
rec.sport.hockey,sci.med,2
rec.sport.hockey,comp.windows.x,0
rec.sport.hockey,sci.space,2
rec.sport.hockey,comp.os.ms-windows.misc,1
rec.sport.hockey,sci.electronics,2
rec.sport.hockey,comp.sys.ibm.pc.hardware,1
rec.sport.hockey,misc.forsale,1
rec.sport.hockey,comp.graphics,0
rec.sport.hockey,comp.sys.mac.hardware,0
rec.sport.hockey,talk.politics.mideast,0
rec.sport.hockey,talk.politics.guns,2
rec.sport.hockey,alt.atheism,2
rec.sport.hockey,talk.politics.misc,1
rec.sport.hockey,talk.religion.misc,0
soc.religion.christian,rec.sport.hockey,1
soc.religion.christian,soc.religion.christian,171
soc.religion.christian,rec.motorcycles,14
soc.religion.christian,rec.sport.baseball,1
soc.religion.christian,sci.crypt,1
soc.religion.christian,rec.autos,3
soc.religion.christian,sci.med,3
soc.religion.christian,comp.windows.x,0
soc.religion.christian,sci.space,0
soc.religion.christian,comp.os.ms-windows.misc,0
soc.religion.christian,sci.electronics,2
soc.religion.christian,comp.sys.ibm.pc.hardware,0
soc.religion.christian,misc.forsale,2
soc.religion.christian,comp.graphics,2
soc.religion.christian,comp.sys.mac.hardware,0
soc.religion.christian,talk.politics.mideast,5
soc.religion.christian,talk.politics.guns,0
soc.religion.christian,alt.atheism,8
soc.religion.christian,talk.politics.misc,4
soc.religion.christian,talk.religion.misc,11
rec.motorcycles,rec.sport.hockey,1
rec.motorcycles,soc.religion.christian,3
rec.motorcycles,rec.motorcycles,159
rec.motorcycles,rec.sport.baseball,4
rec.motorcycles,sci.crypt,2
rec.motorcycles,rec.autos,15
rec.motorcycles,sci.med,7
rec.motorcycles,comp.windows.x,2
rec.motorcycles,sci.space,3
rec.motorcycles,comp.os.ms-windows.misc,3
rec.motorcycles,sci.electronics,1
rec.motorcycles,comp.sys.ibm.pc.hardware,0
rec.motorcycles,misc.forsale,1
rec.motorcycles,comp.graphics,2
rec.motorcycles,comp.sys.mac.hardware,1
rec.motorcycles,talk.politics.mideast,1
rec.motorcycles,talk.politics.guns,6
rec.motorcycles,alt.atheism,1
rec.motorcycles,talk.politics.misc,2
rec.motorcycles,talk.religion.misc,1
rec.sport.baseball,rec.sport.hockey,23
rec.sport.baseball,soc.religion.christian,2
rec.sport.baseball,rec.motorcycles,17
rec.sport.baseball,rec.sport.baseball,152
rec.sport.baseball,sci.crypt,2
rec.sport.baseball,rec.autos,2
rec.sport.baseball,sci.med,1
rec.sport.baseball,comp.windows.x,0
rec.sport.baseball,sci.space,0
rec.sport.baseball,comp.os.ms-windows.misc,0
rec.sport.baseball,sci.electronics,4
