252,7
264,5
124,5
308,5
240,5
210,4
8,4
119,4
276,4
244,4
35,4
178,4
17,4
326,4
204,4
213,3
211,3
219,3
133,3
130,3
134,3
283,3
263,3
16,3
53,3
294,3
318,3
198,3
313,3
89,3
7,3
301,3
103,3
106,3
258,3
195,3
181,3
189,3
202,3
280,3
166,3
97,3
11,3
13,3
239,3
1,3
323,3
325,3
209,3
75,3
73,3
79,3
217,2
132,2
138,2
225,2
25,2
26,2
222,2
347,2
281,2
163,2
349,2
121,2
122,2
2,2
268,2
62,2
52,2
298,2
299,2
196,2
191,2
315,2
274,2
82,2
83,2
80,2
87,2
56,2
179,2
254,2
365,2
303,2
304,2
305,2
102,2
100,2
248,2
33,2
109,2
88,2
337,2
61,2
63,2
64,2
66,2
171,2
255,2
175,2
182,2
187,2
311,2
99,2
92,2
95,2
94,2
282,2
15,2
114,2
18,2
157,2
156,2
113,2
322,2
238,2
234,2
47,2
42,2
118,2
146,2
200,2
145,2
141,2
77,2
78,2
353,2
352,2
267,2
216,1
215,1
218,1
136,1
135,1
24,1
167,1
21,1
223,1
28,1
3,1
289,1
288,1
340,1
162,1
285,1
286,1
260,1
266,1
265,1
127,1
59,1
54,1
51,1
296,1
297,1
295,1
292,1
293,1
90,1
291,1
319,1
199,1
197,1
316,1
192,1
270,1
68,1
272,1
275,1
176,1
86,1
85,1
207,1
364,1
360,1
361,1
115,1
302,1
245,1
247,1
246,1
241,1
243,1
39,1
38,1
32,1
37,1
108,1
34,1
290,1
339,1
335,1
330,1
333,1
332,1
60,1
253,1
250,1
173,1
172,1
183,1
180,1
107,1
96,1
186,1
184,1
185,1
188,1
341,1
310,1
6,1
226,1
220,1
10,1
14,1
19,1
117,1
284,1
116,1
111,1
110,1
150,1
152,1
154,1
159,1
158,1
36,1
278,1
235,1
236,1
230,1
231,1
232,1
233,1
48,1
45,1
43,1
320,1
9,1
328,1
144,1
205,1
140,1
149,1
74,1
170,1
262,1
261,1
357,1
356,1
123,1
12,1
126,1
359,1
125,1
